Plataforma,Fecha,Hora,Nombre,Marca,Precio
MercadoLibre,8/2/2025,12:37:20 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/2/2025,1:28:30 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,9/2/2025,12:36:53 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/2/2025,1:25:29 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,10/2/2025,12:41:07 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,11/2/2025,1:24:34 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,11/2/2025,12:41:31 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,12/2/2025,1:25:04 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,12/2/2025,12:41:11 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,13/2/2025,1:25:11 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,13/2/2025,12:40:52 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,14/2/2025,1:24:51 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,14/2/2025,12:41:05 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,15/2/2025,1:24:15 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,15/2/2025,12:37:16 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,16/2/2025,1:30:55 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,16/2/2025,12:40:26 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,17/2/2025,1:28:06 a.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
MercadoLibre,17/2/2025,12:42:11 p.m.,"Tenis Para Hombre Nike Court Vision Low Next Nature","nike",1799.00
